turns
10
16
28
18
13
26
15
20
36
13
23
25
31
15
17
20
19
18
15
15
26
14
39
26
21
42
11
34
13
18
18
11
24
39
11
47
31
13
13
14
25
47
11
25
22
39
8
26
13
27
17
30
21
14
28
15
29
19
65
16
19
14
12
32
33
12
30
32
29
22
43
15
31
16
17
24
16
29
34
41
17
34
20
17
30
34
54
54
75
35
41
14
23
28
23
23
44
19
24
24
13
11
44
24
14
17
20
31
19
46
15
36
24
28
21
28
21
21
28
26
21
20
17
34
29
24
18
23
29
34
16
16
24
12
37
28
64
16
31
26
13
23
91
21
11
23
55
13
16
30
11
58
35
29
21
26
11
10
22
20
17
15
30
16
16
9
26
11
34
35
32
19
21
17
22
16
19
43
41
37
25
28
19
16
42
13
44
43
20
38
41
36
18
14
14
32
26
29
15
37
39
11
22
30
19
20
56
10
25
28
18
23
53
24
25
15
13
24
21
26
31
37
34
11
10
30
13
44
23
50
22
26
55
12
21
32
12
25
19
15
20
16
18
33
25
20
18
52
27
29
17
21
28
28
33
16
69
21
33
27
31
20
52
25
20
32
23
14
41
27
16
39
27
17
30
24
27
15
22
45
32
47
25
10
20
28
16
15
34
64
33
13
24
20
11
35
18
16
37
35
42
25
22
20
31
22
16
35
27
18
18
17
14
18
21
31
38
18
26
36
9
33
17
45
31
40
28
14
20
18
22
23
18
64
20
60
24
28
43
22
12
14
17
18
14
21
28
19
30
10
22
37
18
28
36
80
15
41
23
25
34
15
24
22
26
33
12
30
37
21
76
16
25
27
51
12
19
13
16
20
38
18
15
15
22
11
23
28
21
21
20
17
16
20
42
29
17
14
22
12
17
39
14
34
17
21
17
30
20
17
25
16
45
17
19
25
17
18
34
23
11
24
47
17
12
28
26
16
11
57
26
23
17
18
22
17
41
12
19
18
19
14
12
15
16
32
14
15
22
23
21
14
41
23
42
32
15
20
27
11
20
37
12
46
18
33
15
44
22
42
17
23
12
33
15
24
27
13
11
19
17
34
12
44
22
24
36
29
36
44
24
12
28
23
13
52
24
28
30
17
39
27
38
20
16
13
57
25
23
30
22
12
70
24
23
20
19
14
22
21
11
15
20
18
19
19
33
25
65
9
26
33
35
26
29
29
47
28
18
33
11
26
16
18
44
36
13
31
12
84
13
19
22
38
13
33
34
56
16
25
61
32
63
47
23
21
51
17
9
33
22
24
26
37
27
39
20
33
37
33
13
24
13
14
22
14
28
17
20
29
22
39
29
18
41
15
44
56
45
12
25
34
17
29
11
11
14
25
12
15
19
22
13
47
40
22
24
18
19
25
16
24
20
21
24
28
60
23
44
19
12
20
18
22
20
19
41
25
43
17
16
17
18
11
17
17
19
30
21
22
14
20
47
12
13
14
25
16
16
27
21
64
28
13
54
16
30
10
22
19
19
33
30
49
7
25
22
28
16
19
38
12
17
16
19
21
21
59
37
37
45
20
17
20
25
28
38
32
10
14
26
13
25
20
30
36
15
25
21
26
29
13
33
51
62
42
27
36
11
19
17
33
23
29
41
39
20
21
28
13
20
14
45
8
19
33
33
31
24
17
13
17
34
34
38
27
23
35
35
29
51
14
18
19
18
15
17
51
18
21
38
40
37
18
8
23
15
47
34
22
17
16
12
47
26
59
12
24
11
32
22
37
13
24
22
36
30
50
27
19
15
25
34
20
41
82
24
26
44
19
16
10
36
17
31
35
40
18
29
25
21
29
19
43
73
16
9
42
18
17
41
24
22
37
13
57
13
35
20
15
64
39
13
37
23
22
35
20
21
25
49
29
23
8
22
41
11
20
22
25
70
14
29
35
19
22
20
49
41
12
28
27
29
25
21
30
16
32
48
17
17
17
40
27
22
29
26
63
8
41
44
27
33
32
45
26
28
38
21
15
23
21
27
21
15
29
24
18
25
20
39
25
23
28
64
24
20
20
33
13
26
47
35
26
30
10
17
23
47
24
10
15
27
20
24
20
21
19
32
36
10
27
49
39
19
22
11
70
14
20
19
26
38
28
13
33
16
74
22
25
32
35
12
35
22
16
22
31
30
31
53
21
22
24
16
12
45
37
39
16
16
30
19
27
9
11
15
21
31
30
12
44
12
28
29
17
25
47
10
23
16
24
22
29
25
26
62
16
29
17
